name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
C3	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
C4	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
Cz	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
EKG1	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
EKG2	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
F10	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
F3	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
F4	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
F7	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
F8	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
F9	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
Fp1	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
Fp2	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
Fz	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
LOC	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
O1	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
O2	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
P10	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
P3	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
P4	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
P9	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
Pz	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
ROC	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
T1	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
T10	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
T2	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
T3	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
T4	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
T5	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
T6	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
T9	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
